combo,tails,circuits,max_tail,max_circuit,circuit_lengths,tail_lengths,edge_selection
0310000010,190,97,328,180,"[4, 12, 48, 180]","{6: 89, 8: 26, 170: 5, 4: 29, 26: 18, 86: 5, 34: 8, 268: 3, 64: 3, 328: 1, 320: 1, 1: 1, 3: 1}",023678
0310001000,190,634,317,708,"[5, 6, 150, 708]","{19: 29, 2: 73, 4: 71, 38: 5, 148: 3, 81: 5, 317: 2, 1: 1, 9: 1}",023678
0310001010,190,138,572,1278,"[6, 270, 1278]","{34: 29, 2: 73, 4: 71, 68: 5, 268: 3, 146: 5, 572: 2, 1: 1, 19: 1}",023678
0311000000,190,19,1424,332,"[12, 332]","{10: 89, 8: 26, 37: 21, 4: 29, 42: 5, 239: 3, 11: 8, 127: 5, 602: 2, 1: 1, 1424: 1}",023678
0311000010,190,466,244,132,"[4, 12, 36, 132]","{6: 89, 8: 26, 126: 5, 4: 29, 18: 18, 62: 5, 22: 8, 200: 3, 48: 3, 244: 1, 240: 1, 1: 1, 3: 1}",023678
0311001000,190,575,143,342,"[5, 6, 21, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 20: 1}",023678
0311001010,190,79,218,522,"[6, 36, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 35: 1}",023678
0400000000,190,78,1358,88,"[12, 13, 14, 62, 88]","{9: 89, 32: 20, 8: 26, 137: 5, 4: 29, 58: 5, 20: 8, 110: 3, 1358: 1, 711: 1, 1: 1, 24: 1, 66: 1}",023678
0400000010,190,97,316,180,"[8, 12, 44, 180]","{6: 89, 8: 26, 162: 5, 4: 29, 22: 18, 82: 5, 34: 8, 256: 3, 56: 3, 316: 1, 304: 1, 1: 1, 3: 1}",023678
0400001000,190,585,189,93,"[5, 6, 41, 93]","{98: 5, 2: 73, 4: 71, 24: 18, 55: 5, 19: 8, 153: 3, 48: 3, 184: 1, 189: 1, 1: 1, 9: 1}",023678
0400001010,190,138,572,1290,"[6, 278, 1290]","{38: 21, 2: 73, 4: 71, 60: 5, 264: 3, 30: 8, 142: 5, 572: 2, 1: 1, 19: 1}",023678
0401000000,190,19,1403,318,"[12, 318]","{10: 89, 8: 26, 30: 21, 4: 29, 56: 5, 246: 3, 18: 8, 134: 5, 602: 2, 1: 1, 1403: 1}",023678
0401000010,190,466,232,132,"[4, 8, 12, 32, 132]","{6: 89, 8: 26, 118: 5, 4: 29, 14: 18, 58: 5, 22: 8, 188: 3, 40: 3, 232: 1, 224: 1, 1: 1, 3: 1}",023678
0401001000,190,575,143,342,"[5, 6, 12, 14, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 13: 1}",023678
0401001010,190,79,218,522,"[6, 36, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 35: 1}",023678
0410000000,190,108,1200,36,"[12, 13, 14, 26, 27, 36]","{9: 56, 24: 26, 8: 26, 110: 8, 4: 29, 17: 33, 12: 8, 1200: 1, 632: 1, 1: 1, 66: 1}",023678
0410000010,190,34,340,180,"[12, 52, 180]","{6: 89, 8: 26, 178: 5, 4: 29, 30: 18, 90: 5, 34: 8, 280: 3, 72: 3, 340: 1, 336: 1, 1: 1, 3: 1}",023678
0410001000,190,648,169,93,"[5, 6, 36, 93]","{88: 5, 2: 73, 4: 71, 19: 26, 50: 5, 138: 3, 38: 3, 169: 2, 1: 1, 9: 1}",023678
0410001010,190,152,304,168,"[6, 66, 168]","{158: 5, 2: 73, 4: 71, 34: 26, 90: 5, 248: 3, 68: 3, 304: 2, 1: 1, 19: 1}",023678
0411000000,190,82,1319,304,"[7, 12, 304]","{10: 89, 8: 26, 30: 21, 4: 29, 42: 5, 225: 3, 11: 8, 120: 5, 560: 2, 1: 1, 1319: 1}",023678
0411000010,190,403,256,132,"[4, 12, 40, 132]","{6: 89, 8: 26, 134: 5, 4: 29, 22: 26, 66: 5, 212: 3, 56: 3, 256: 2, 1: 1, 3: 1}",023678
0411001000,190,638,143,342,"[5, 6, 7, 14, 54, 120, 342]","{18: 21, 2: 73, 9: 18, 7: 29, 52: 5, 27: 11, 4: 16, 34: 3, 29: 5, 36: 5, 143: 2, 1: 1, 13: 1}",023678
0411001010,190,142,218,522,"[6, 12, 24, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 23: 1}",023678
1000000000,190,34,354,210,"[12, 42, 210]","{4: 118, 8: 26, 182: 5, 24: 18, 94: 5, 48: 8, 284: 3, 56: 3, 354: 1, 330: 1, 1: 1, 5: 1}",023678
1000000010,190,530,296,174,"[2, 12, 36, 174]","{4: 118, 8: 26, 152: 5, 20: 18, 78: 5, 38: 8, 238: 3, 48: 3, 296: 1, 278: 1, 1: 1, 3: 1}",023678
1000001000,190,142,1508,78,"[6, 72, 78]","{50: 20, 2: 73, 4: 71, 148: 5, 56: 5, 28: 8, 142: 3, 1508: 1, 800: 1, 1: 1, 41: 1, 90: 1}",023678
1000001010,190,638,1222,66,"[2, 6, 60, 66]","{42: 20, 2: 73, 4: 71, 120: 5, 48: 5, 24: 8, 114: 3, 1222: 1, 648: 1, 1: 1, 33: 1, 72: 1}",023678
1001000000,190,403,228,138,"[6, 12, 24, 138]","{4: 118, 8: 26, 116: 5, 12: 18, 58: 5, 30: 8, 182: 3, 32: 3, 228: 1, 210: 1, 1: 1, 5: 1}",023678
1001000010,190,899,212,126,"[2, 4, 12, 24, 126]","{4: 118, 8: 26, 108: 5, 12: 18, 54: 5, 26: 8, 170: 3, 32: 3, 212: 1, 198: 1, 1: 1, 3: 1}",023678
1001001000,190,142,218,522,"[6, 12, 24, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 11: 1}",023678
1001001010,190,638,188,450,"[2, 6, 10, 20, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 9: 1}",023678
1010000000,190,20,614,1404,"[12, 318, 1404]","{4: 118, 8: 26, 42: 21, 68: 5, 258: 3, 30: 8, 146: 5, 614: 2, 1: 1, 5: 1}",023678
1010000010,190,516,516,1182,"[2, 12, 268, 1182]","{4: 118, 8: 26, 34: 21, 56: 5, 216: 3, 24: 8, 122: 5, 516: 2, 1: 1, 3: 1}",023678
1010001000,190,148,368,702,"[6, 102, 234, 702]","{156: 3, 2: 73, 4: 71, 34: 18, 68: 16, 134: 5, 368: 2, 1: 1, 41: 1}",023678
1010001010,190,644,302,576,"[2, 6, 84, 192, 576]","{128: 3, 2: 73, 4: 71, 28: 18, 56: 16, 110: 5, 302: 2, 1: 1, 33: 1}",023678
1011000000,190,389,392,900,"[6, 12, 204, 900]","{4: 118, 8: 26, 24: 21, 44: 5, 162: 3, 18: 8, 92: 5, 392: 2, 1: 1, 5: 1}",023678
1011000010,190,885,368,846,"[2, 4, 12, 192, 846]","{4: 118, 8: 26, 22: 21, 40: 5, 152: 3, 16: 8, 86: 5, 368: 2, 1: 1, 3: 1}",023678
1011001000,190,205,218,522,"[6, 12, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 11: 1}",023678
1011001010,190,701,188,450,"[2, 6, 10, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 9: 1}",023678
1100000000,190,97,330,192,"[6, 12, 42, 192]","{4: 118, 8: 26, 170: 5, 24: 18, 88: 5, 42: 8, 266: 3, 56: 3, 330: 1, 312: 1, 1: 1, 5: 1}",023678
1100000010,190,593,280,162,"[2, 4, 12, 36, 162]","{4: 118, 8: 26, 144: 5, 20: 18, 74: 5, 34: 8, 226: 3, 48: 3, 280: 1, 266: 1, 1: 1, 3: 1}",023678
1100001000,190,138,584,1314,"[6, 276, 1314]","{34: 21, 2: 73, 4: 71, 56: 5, 280: 3, 28: 8, 146: 5, 584: 2, 1: 1, 25: 1}",023678
1100001010,190,634,478,1074,"[2, 6, 226, 1074]","{28: 21, 2: 73, 4: 71, 48: 5, 228: 3, 24: 8, 120: 5, 478: 2, 1: 1, 19: 1}",023678
1101000000,190,466,204,120,"[6, 12, 24, 120]","{4: 118, 8: 26, 104: 5, 12: 18, 52: 5, 24: 8, 164: 3, 32: 3, 204: 1, 192: 1, 1: 1, 5: 1}",023678
1101000010,190,962,196,114,"[2, 4, 12, 24, 114]","{4: 118, 8: 26, 100: 5, 12: 18, 50: 5, 22: 8, 158: 3, 32: 3, 196: 1, 186: 1, 1: 1, 3: 1}",023678
1101001000,190,79,218,522,"[6, 36, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 35: 1}",023678
1101001010,190,575,188,450,"[2, 6, 30, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 29: 1}",023678
1110000000,190,83,578,1314,"[6, 12, 294, 1314]","{4: 118, 8: 26, 36: 21, 68: 5, 246: 3, 30: 8, 140: 5, 578: 2, 1: 1, 5: 1}",023678
1110000010,190,579,492,1122,"[2, 4, 12, 252, 1122]","{4: 118, 8: 26, 30: 21, 56: 5, 208: 3, 24: 8, 118: 5, 492: 2, 1: 1, 3: 1}",023678
1110001000,190,136,637,6,[6],"{34: 21, 2: 73, 4: 71, 584: 1, 78: 5, 124: 8, 66: 3, 416: 3, 370: 2, 637: 1, 1: 1, 68: 1}",023678
1110001010,190,632,523,6,"[2, 6]","{28: 21, 2: 73, 4: 71, 480: 1, 64: 5, 102: 8, 54: 3, 342: 3, 304: 2, 523: 1, 1: 1, 56: 1}",023678
1111000000,190,452,356,810,"[6, 12, 180, 810]","{4: 118, 8: 26, 18: 29, 44: 5, 150: 3, 86: 5, 356: 2, 1: 1, 5: 1}",023678
1111000010,190,948,344,786,"[2, 4, 12, 176, 786]","{4: 118, 8: 26, 18: 21, 40: 5, 144: 3, 16: 8, 82: 5, 344: 2, 1: 1, 3: 1}",023678
1111001000,190,142,218,522,"[6, 12, 24, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 23: 1}",023678
1111001010,190,638,188,450,"[2, 6, 10, 20, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 19: 1}",023678
1200000000,190,97,330,192,"[6, 12, 42, 192]","{4: 118, 8: 26, 170: 5, 24: 18, 88: 5, 42: 8, 266: 3, 56: 3, 330: 1, 312: 1, 1: 1, 5: 1}",023678
1200000010,190,593,280,162,"[2, 4, 12, 36, 162]","{4: 118, 8: 26, 144: 5, 20: 18, 74: 5, 34: 8, 226: 3, 48: 3, 280: 1, 266: 1, 1: 1, 3: 1}",023678
1200001000,190,205,1364,78,"[6, 72, 78]","{50: 20, 2: 73, 4: 71, 130: 5, 56: 5, 28: 8, 124: 3, 1364: 1, 722: 1, 1: 1, 41: 1, 78: 1}",023678
1200001010,190,701,1126,66,"[2, 4, 6, 60, 66]","{42: 20, 2: 73, 4: 71, 108: 5, 48: 5, 24: 8, 102: 3, 1126: 1, 596: 1, 1: 1, 33: 1, 64: 1}",023678
1201000000,190,466,204,120,"[6, 12, 24, 120]","{4: 118, 8: 26, 104: 5, 12: 18, 52: 5, 24: 8, 164: 3, 32: 3, 204: 1, 192: 1, 1: 1, 5: 1}",023678
1201000010,190,962,196,114,"[2, 4, 12, 24, 114]","{4: 118, 8: 26, 100: 5, 12: 18, 50: 5, 22: 8, 158: 3, 32: 3, 196: 1, 186: 1, 1: 1, 3: 1}",023678
1201001000,190,205,218,522,"[6, 12, 18, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 11: 1}",023678
1201001010,190,701,188,450,"[2, 4, 6, 10, 16, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 9: 1}",023678
1210000000,190,34,348,192,"[12, 48, 192]","{4: 118, 8: 26, 182: 5, 30: 18, 94: 5, 42: 8, 284: 3, 68: 3, 348: 1, 336: 1, 1: 1, 5: 1}",023678
1210000010,190,530,292,162,"[2, 12, 40, 162]","{4: 118, 8: 26, 152: 5, 24: 18, 78: 5, 34: 8, 238: 3, 56: 3, 292: 1, 282: 1, 1: 1, 3: 1}",023678
1210001000,190,142,1400,90,"[6, 78, 90]","{56: 20, 2: 73, 4: 71, 136: 5, 68: 5, 34: 8, 124: 3, 1400: 1, 740: 1, 1: 1, 41: 1, 78: 1}",023678
1210001010,190,638,1150,74,"[2, 6, 64, 74]","{46: 20, 2: 73, 4: 71, 112: 5, 56: 5, 28: 8, 102: 3, 1150: 1, 608: 1, 1: 1, 33: 1, 64: 1}",023678
1211000000,190,403,222,120,"[6, 12, 30, 120]","{4: 118, 8: 26, 116: 5, 18: 18, 58: 5, 24: 8, 182: 3, 44: 3, 222: 1, 216: 1, 1: 1, 5: 1}",023678
1211000010,190,899,208,114,"[2, 4, 12, 28, 114]","{4: 118, 8: 26, 108: 5, 16: 18, 54: 5, 22: 8, 170: 3, 40: 3, 208: 1, 202: 1, 1: 1, 3: 1}",023678
1211001000,190,142,218,522,"[6, 12, 24, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 11: 1}",023678
1211001010,190,638,188,450,"[2, 6, 10, 20, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 9: 1}",023678
1300000000,190,160,306,174,"[6, 12, 42, 174]","{4: 118, 8: 26, 158: 5, 24: 18, 82: 5, 36: 8, 248: 3, 56: 3, 306: 1, 294: 1, 1: 1, 5: 1}",023678
1300000010,190,656,264,150,"[2, 4, 12, 36, 150]","{4: 118, 8: 26, 136: 5, 20: 18, 70: 5, 30: 8, 214: 3, 48: 3, 264: 1, 254: 1, 1: 1, 3: 1}",023678
1300001000,190,201,536,1206,"[6, 258, 1206]","{34: 21, 2: 73, 4: 71, 56: 5, 250: 3, 28: 8, 134: 5, 536: 2, 1: 1, 19: 1}",023678
1300001010,190,697,446,1002,"[2, 4, 6, 214, 1002]","{28: 21, 2: 73, 4: 71, 48: 5, 208: 3, 24: 8, 112: 5, 446: 2, 1: 1, 15: 1}",023678
1301000000,190,529,180,102,"[6, 12, 24, 102]","{4: 118, 8: 26, 92: 5, 12: 18, 46: 5, 18: 8, 146: 3, 32: 3, 180: 1, 174: 1, 1: 1, 5: 1}",023678
1301000010,190,1025,180,102,"[2, 4, 12, 24, 102]","{4: 118, 8: 26, 92: 5, 12: 18, 46: 5, 18: 8, 146: 3, 32: 3, 180: 1, 174: 1, 1: 1, 3: 1}",023678
1301001000,190,142,218,522,"[6, 30, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 29: 1}",023678
1301001010,190,638,188,450,"[2, 4, 6, 26, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 25: 1}",023678
1310000000,190,97,324,174,"[6, 12, 48, 174]","{4: 118, 8: 26, 170: 5, 30: 18, 88: 5, 36: 8, 266: 3, 68: 3, 324: 1, 318: 1, 1: 1, 5: 1}",023678
1310000010,190,593,276,150,"[2, 4, 12, 40, 150]","{4: 118, 8: 26, 144: 5, 24: 18, 74: 5, 30: 8, 226: 3, 56: 3, 276: 1, 270: 1, 1: 1, 3: 1}",023678
1310001000,190,138,572,1278,"[6, 270, 1278]","{34: 29, 2: 73, 4: 71, 68: 5, 268: 3, 146: 5, 572: 2, 1: 1, 19: 1}",023678
1310001010,190,634,470,1050,"[2, 6, 222, 1050]","{28: 29, 2: 73, 4: 71, 56: 5, 220: 3, 120: 5, 470: 2, 1: 1, 15: 1}",023678
1311000000,190,466,198,102,"[6, 12, 30, 102]","{4: 118, 8: 26, 104: 5, 18: 26, 52: 5, 164: 3, 44: 3, 198: 2, 1: 1, 5: 1}",023678
1311000010,190,962,192,102,"[2, 4, 12, 28, 102]","{4: 118, 8: 26, 100: 5, 16: 18, 50: 5, 18: 8, 158: 3, 40: 3, 192: 1, 190: 1, 1: 1, 3: 1}",023678
1311001000,190,79,218,522,"[6, 36, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 35: 1}",023678
1311001010,190,575,188,450,"[2, 6, 30, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 29: 1}",023678
1400000000,190,97,306,174,"[12, 42, 174]","{4: 118, 8: 26, 158: 5, 24: 18, 82: 5, 36: 8, 248: 3, 56: 3, 306: 1, 294: 1, 1: 1, 5: 1}",023678
1400000010,190,593,264,150,"[2, 8, 12, 36, 150]","{4: 118, 8: 26, 136: 5, 20: 18, 70: 5, 30: 8, 214: 3, 48: 3, 264: 1, 254: 1, 1: 1, 3: 1}",023678
1400001000,190,138,572,1296,"[6, 282, 1296]","{40: 21, 2: 73, 4: 71, 56: 5, 262: 3, 28: 8, 140: 5, 572: 2, 1: 1, 19: 1}",023678
1400001010,190,634,470,1062,"[2, 6, 230, 1062]","{32: 21, 2: 73, 4: 71, 48: 5, 216: 3, 24: 8, 116: 5, 470: 2, 1: 1, 15: 1}",023678
1401000000,190,466,180,102,"[6, 12, 24, 102]","{4: 118, 8: 26, 92: 5, 12: 18, 46: 5, 18: 8, 146: 3, 32: 3, 180: 1, 174: 1, 1: 1, 5: 1}",023678
1401000010,190,962,180,102,"[2, 4, 8, 12, 24, 102]","{4: 118, 8: 26, 92: 5, 12: 18, 46: 5, 18: 8, 146: 3, 32: 3, 180: 1, 174: 1, 1: 1, 3: 1}",023678
1401001000,190,79,218,522,"[6, 36, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 35: 1}",023678
1401001010,190,575,188,450,"[2, 6, 30, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 29: 1}",023678
1410000000,190,34,342,174,"[12, 54, 174]","{4: 118, 8: 26, 182: 5, 36: 26, 94: 5, 284: 3, 80: 3, 342: 2, 1: 1, 5: 1}",023678
1410000010,190,530,288,150,"[2, 12, 44, 150]","{4: 118, 8: 26, 152: 5, 28: 18, 78: 5, 30: 8, 238: 3, 64: 3, 288: 1, 286: 1, 1: 1, 3: 1}",023678
1410001000,190,152,304,168,"[6, 66, 168]","{158: 5, 2: 73, 4: 71, 34: 26, 90: 5, 248: 3, 68: 3, 304: 2, 1: 1, 19: 1}",023678
1410001010,190,648,250,138,"[2, 6, 54, 138]","{130: 5, 2: 73, 4: 71, 28: 26, 74: 5, 204: 3, 56: 3, 250: 2, 1: 1, 15: 1}",023678
1411000000,190,403,222,102,"[6, 12, 36, 102]","{4: 118, 8: 26, 116: 5, 24: 18, 58: 5, 18: 8, 182: 3, 56: 3, 216: 1, 222: 1, 1: 1, 5: 1}",023678
1411000010,190,899,206,102,"[2, 4, 12, 32, 102]","{4: 118, 8: 26, 108: 5, 20: 18, 54: 5, 18: 8, 170: 3, 48: 3, 204: 1, 206: 1, 1: 1, 3: 1}",023678
1411001000,190,142,218,522,"[6, 12, 24, 84, 180, 522]","{28: 21, 2: 73, 14: 18, 12: 29, 82: 5, 42: 11, 4: 16, 54: 3, 44: 5, 56: 5, 218: 2, 1: 1, 23: 1}",023678
1411001010,190,638,188,450,"[2, 6, 10, 20, 72, 156, 450]","{24: 21, 2: 73, 12: 18, 10: 29, 70: 5, 36: 11, 4: 16, 46: 3, 38: 5, 48: 5, 188: 2, 1: 1, 19: 1}",023678
